school_name,eei_score,charter,pc_black,pc_white,pc_hispanic,enroll_100,pc_free_lunch
Achieve Academy,52.7,Y,4,2,88,7.49,95
Acorn Woodland Elementary School,67,N,8,1,88,2.96,92
Allendale Elementary School,11.6,N,30,4,48,3.93,83
Alliance Academy,11.4,N,19,1,71,3.9,94
American Indian Public Charter School,79.2,Y,13,4,31,1.96,81
American Indian Public Charter School Ii,88.6,Y,18,2,5,6.16,69
American Indian Public High School,97.2,Y,14,2,16,2.14,71
Arise High School,38.5,Y,1,0,65,2.58,90
Ascend School,56,Y,1,1,94,4.33,93
Aspire Berkley Maynard Academy,27.7,Y,42,2,51,5.66,82
Aspire College Academy,26.1,Y,24,0,69,2.77,95
Aspire Eres Academy,53.5,Y,2,0,91,2.23,94
Aspire Golden State College Preparatory Academy,38.7,Y,16,0,82,5.62,83
Aspire Lionel Wilson College Preparatory Academy,70.5,Y,3,0,96,4.91,96
Aspire Monarch Academy,34.8,Y,4,0,94,3.93,97
Aspire Triumph Technology Academy,26.8,Y,58,0,37,2.84,93
Bay Area School Of Enterprise,1.7,Y,11,0,84,1.61,92
Bay Area Technology School,38,Y,44,10,40,2.62,87
Bella Vista Elementary School,58.7,N,25,4,20,4.69,82
Bret Harte Middle School,18.5,N,36,7,32,5.04,83
Bridges Academy,9.5,N,5,1,89,4.14,74
Brookfield Elementary School,31.9,N,23,1,68,3.59,79
Burckhalter Elementary School,33.7,N,69,2,14,2.71,84
Carl B. Munck Elementary School,26.7,N,59,5,24,2.85,75
Chabot Elementary School,83.9,N,11,60,9,5.73,16
Claremont Middle School,26.1,N,50,17,14,4.35,60
Cleveland Elementary School,82.9,N,21,14,12,3.98,56
Coliseum College Prep Academy,44.2,N,12,0,86,4.76,93
Community School For Creative Education,27.9,Y,25,13,45,1.91,73
Community United Elementary School,18.9,N,24,2,69,4.3,90
Conservatory of Vocal/Instrumental Arts School,72.4,Y,56,12,15,2.37,65
Cox Academy,24.8,Y,20,1,65,5.97,93
Crocker Highlands Elementary School,14,N,13,59,8,4.32,7
Dewey Academy,1.8,N,38,2,47,2.4,79
Downtown Charter Academy,98.7,Y,2,2,15,2.48,84
East Bay Innovation Academy,18.6,Y,15,39,22,2.16,14
East Oakland Leadership Academy,0.1,Y,57,5,33,1.5,98
East Oakland Pride Elementary School,12.7,N,26,1,67,4.36,95
Edna Brewer Middle School,71.7,N,29,13,22,8.27,69
Elmhurst Community Prep School,21.5,N,33,0,59,3.8,92
Emerson Elementary School,6.4,N,52,12,20,3.01,68
Emery Secondary School,60.2,N,62,7,18,1.91,68
Encompass Academy Elementary,31.5,N,17,5,72,3.16,82
Envision Academy For Arts & Technology,58.8,Y,41,3,47,3.95,47
Epic Charter,,Y,11,1,83,1.64,93
Esperanza Elementary School,25.7,N,2,1,97,3.4,89
