time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-01-29T01:01:06.550Z,67.9846,-149.1158,0,2.5,ml,,,,0.89,ak,ak18223923,2018-01-29T01:14:31.209Z,"93km NNE of Coldfoot, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-01-29T00:53:29.520Z,42.5649,-111.456,9.47,2.6,ml,,55,0.142,0.7,us,us2000cqt1,2018-01-29T01:14:29.040Z,"15km SE of Soda Springs, Idaho",earthquake,2,10.8,0.038,92,reviewed,us,us
2018-01-29T00:38:46.810Z,55.9144,-149.2553,7.84,4.3,mb,,142,2.588,0.52,us,us2000cqsv,2018-01-29T01:08:08.040Z,"283km SE of Kodiak, Alaska",earthquake,7.6,5.8,0.061,77,reviewed,us,us
2018-01-28T23:56:18.660Z,-41.5589,174.3113,22.62,4.6,mb,,110,0.203,0.98,us,us2000cqse,2018-01-29T00:53:23.261Z,"30km E of Blenheim, New Zealand",earthquake,3.3,7,0.273,4,reviewed,us,us
2018-01-28T23:53:14.820Z,-31.2871,-68.7082,89.84,5.4,mww,,26,1.757,1.48,us,us2000cqsd,2018-01-29T01:35:32.399Z,"24km NW of Albardon, Argentina",earthquake,4.3,4.9,0.053,34,reviewed,us,us
2018-01-28T23:31:32.742Z,56.4554,-148.4534,12.3,4.3,ml,,,,0.7,ak,ak18222591,2018-01-29T00:10:43.861Z,"279km ESE of Kodiak, Alaska",earthquake,,1023.2,,,reviewed,ak,ak
2018-01-28T23:27:56.580Z,59.8229,-153.0086,108.5,3.1,ml,,,,0.59,ak,ak18222577,2018-01-29T00:51:44.040Z,"66km W of Anchor Point, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-01-28T22:46:20.920Z,43.6247,-126.9873,10,4.9,mb,,186,2.135,1.15,us,us2000cqrl,2018-01-29T00:23:59.502Z,"216km WNW of Bandon, Oregon",earthquake,8.8,2,0.044,162,reviewed,us,us
2018-01-28T22:23:39.530Z,-52.9699,10.2237,33,5.4,mb,,90,19.634,1.2,us,us2000cqrf,2018-01-28T22:38:20.040Z,Southwest of Africa,earthquake,12.4,2.7,0.082,50,reviewed,us,us
2018-01-28T21:46:37.370Z,60.257,-150.9754,56,2.5,ml,,,,0.47,ak,ak18221906,2018-01-28T21:52:13.986Z,"22km SE of Cohoe, Alaska",earthquake,,1.1,,,automatic,ak,ak
2018-01-28T21:23:17.070Z,36.7924,-104.9236,5,3.3,ml,,65,0.049,0.8,us,us2000cqqu,2018-01-29T00:18:09.853Z,"31km N of Cimarron, New Mexico",earthquake,2.7,1.8,0.048,58,reviewed,us,us
